,LATITUD,LONGITUD
199,19.6959933,-101.1625167
200,19.6960167,-101.1625667
201,19.6960167,-101.1625667
202,19.6960167,-101.1625667
203,19.6960167,-101.1625667
204,19.6960167,-101.1625667
205,19.6960167,-101.1625667
206,19.6960167,-101.1625667
207,19.6960167,-101.1625667
208,19.6960167,-101.1625667
209,19.6960167,-101.1625667
210,19.6960167,-101.1625667
211,19.6960167,-101.1625667
212,19.6960167,-101.1625667
213,19.6960167,-101.1625667
214,19.6960167,-101.1625667
215,19.6960167,-101.1625667
216,19.6960167,-101.1625667
217,19.6960167,-101.1625667
218,19.69473,-101.1625045
219,19.69473,-101.1625045
220,19.69473,-101.1625045
221,21.1250888,-101.6399639
222,19.7076353,-101.1899583
223,19.7076353,-101.1899583
224,19.7076353,-101.1899583
225,19.8032319,-99.8976826
226,19.8032319,-99.8976826
227,19.8032319,-99.8976826
228,19.8032319,-99.8976826
229,19.8032319,-99.8976826
230,19.6960901018104,-101.162745469545
231,19.6977898899628,-101.158541608695
232,19.6973888,-101.1581959
233,19.6959531213569,-101.162730625459
234,19.6959531213569,-101.162730625459
235,19.6959531213569,-101.162730625459
236,19.69609682893,-101.162718220281
237,19.6974502426089,-101.158185531981
238,19.6974502426089,-101.158185531981
239,19.6974502426089,-101.158185531981
240,19.6974502426089,-101.158185531981
241,19.6974502426089,-101.158185531981
242,19.6974502426089,-101.158185531981
243,19.6974502426089,-101.158185531981
244,19.6974502426089,-101.158185531981
245,19.6974502426089,-101.158185531981
246,19.6974502426089,-101.158185531981
247,19.6974502426089,-101.158185531981
248,19.6974502426089,-101.158185531981
249,19.6974502426089,-101.158185531981
250,19.6974502426089,-101.158185531981
251,19.6974502426089,-101.158185531981
252,19.6974502426089,-101.158185531981
253,19.6961119,-101.162733
254,19.6961119,-101.162733
255,19.6961119,-101.162733
256,19.6961119,-101.162733
257,19.6961119,-101.162733
258,19.6961119,-101.162733
259,19.6961119,-101.162733
260,19.6961119,-101.162733
261,19.6961119,-101.162733
262,19.6961119,-101.162733
263,19.6961119,-101.162733
264,19.6961119,-101.162733
265,19.6961119,-101.162733
266,19.7228837,-101.2319806
267,19.7228837,-101.2319806
268,19.7228837,-101.2319806
269,19.7076053,-101.1900234
270,19.7076825,-101.1504221
271,19.6958943,-101.1625137
272,19.6919469,-101.1179722
273,19.6919469,-101.1179722
274,19.6919469,-101.1179722
275,19.6919525,-101.1179659
276,21.0632655,-100.4738986
277,21.0632655,-100.4738986
278,21.0632729,-100.4739071
279,21.0632729,-100.4739071
280,21.0632729,-100.4739071
281,21.0632576,-100.4738821
282,21.0632982,-100.4739029
283,21.0632838,-100.4738852
284,19.6974502426089,-101.158185531981
285,19.6974502426089,-101.158185531981
286,19.6974502426089,-101.158185531981
287,19.6974502426089,-101.158185531981
288,19.6974502426089,-101.158185531981
289,19.6974502426089,-101.158185531981
290,19.6974502426089,-101.158185531981
291,19.4973972,-100.3955891
292,19.7034309,-101.1743778
293,19.6989868,-101.1573118
294,19.6974520393671,-101.158187243425
295,19.6974520393671,-101.158187243425
296,19.697441100967,-101.158277211987
297,19.6974520393671,-101.158187243425
298,19.6974520393671,-101.158187243425
299,19.6974520393671,-101.158187243425
300,19.6974520393671,-101.158187243425
301,19.6974520393671,-101.158187243425
302,19.6974520393671,-101.158187243425
303,19.6974520393671,-101.158187243425
